bedrooms,bathrooms,toilets,parking_space,title,town,state,price,listing_type
5,5,6,5,Detached Duplex,Ajah,Lagos,65000000,rent
4,4,5,4,Detached Duplex,Lekki,Lagos,75000000,rent
5,5,6,5,Detached Duplex,Lekki,Lagos,95000000,rent
4,4,5,4,Terraced Duplexes,Ikeja,Lagos,80000000,rent
5,5,5,4,Detached Duplex,Ojodu,Lagos,60000000,rent
3,3,4,2,Terraced Duplexes,Ajah,Lagos,38000000,rent
4,5,5,4,Terraced Duplexes,Lekki,Lagos,70000000,rent
5,4,5,8,Terraced Bungalow,Ikotun,Lagos,20000000,rent
3,4,4,4,Detached Duplex,Ikeja,Lagos,130000000,rent
5,5,5,4,Detached Duplex,Lekki,Lagos,115000000,rent
4,4,5,1,Detached Bungalow,Ikotun,Lagos,25000000,rent
4,5,5,4,Terraced Duplexes,Life Camp,Abuja,35000000,rent
3,4,4,4,Terraced Duplexes,Ajah,Lagos,40000000,rent
4,5,6,4,Detached Duplex,Ajah,Lagos,75000000,rent
5,5,5,4,Detached Duplex,Lekki,Lagos,50000000,rent
5,5,5,4,Detached Duplex,Lekki,Lagos,160000000,sale
5,6,6,4,Detached Duplex,Victoria Island (Vi),Lagos,170000000,sale
4,4,5,3,Detached Duplex,Lekki,Lagos,90000000,rent
5,5,5,4,Detached Duplex,Ikeja,Lagos,200000000,sale
5,5,6,3,Detached Duplex,Lekki,Lagos,115000000,rent
4,5,6,6,Detached Duplex,Lekki,Lagos,110000000,rent
4,4,5,4,Terraced Duplexes,Wuse 2,Abuja,200000000,sale
4,5,5,4,Terraced Duplexes,Lekki,Lagos,50000000,rent
4,5,5,4,Detached Duplex,Lekki,Lagos,85000000,rent
4,5,5,5,Detached Duplex,Katampe,Abuja,145000000,rent
4,4,5,3,Detached Duplex,Lekki,Lagos,70000000,rent
3,4,4,4,Block of Flats,Life Camp,Abuja,35000000,rent
4,5,5,3,Terraced Duplexes,Lekki,Lagos,85000000,rent
4,4,5,7,Detached Duplex,Lugbe District,Abuja,75000000,rent
